,url,status_code,history,timestamp,error_msg
tx-cedarpark.civicplus.com,,,,,"HTTPConnectionPool(host='tx-cedarpark.civicplus.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f396ba18310>: Failed to establish a new connection: [Errno 111] Connection refused'))"
tx-cedarpark2.civicplus.com,,,,,"HTTPConnectionPool(host='tx-cedarpark2.civicplus.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f396b356590>: Failed to establish a new connection: [Errno 111] Connection refused'))"
tx-chandler.civicplus.com,http://tx-chandler.civicplus.com/,200,[],2020-07-02T23:40:50.499553,
tx-chandler2.civicplus.com,http://tx-chandler2.civicplus.com/,200,[],2020-07-02T23:40:51.065356,
tx-cibolo.civicplus.com,https://www.cibolotx.gov/,200,[<Response [302]>],2020-07-02T23:40:51.945657,
tx-cibolo2.civicplus.com,https://www.cibolotx.gov/,200,[<Response [302]>],2020-07-02T23:40:52.596276,
tx-clearlakeshores.civicplus.com,https://www.clearlakeshores-tx.gov/,200,[<Response [302]>],2020-07-02T23:40:53.523074,
tx-clearlakeshores2.civicplus.com,https://www.clearlakeshores-tx.gov/,200,[<Response [302]>],2020-07-02T23:40:54.250440,
tx-cleburne.civicplus.com,https://tx-cleburne.civicplus.com/,404,[<Response [301]>],2020-07-02T23:40:54.591688,
tx-cleburne2.civicplus.com,https://tx-cleburne2.civicplus.com/,200,[<Response [301]>],2020-07-02T23:40:55.691392,
tx-cleveland.civicplus.com,http://tx-cleveland.civicplus.com/,200,[],2020-07-02T23:40:56.212955,
tx-cockrellhill.civicplus.com,http://tx-cockrellhill.civicplus.com/,200,[],2020-07-02T23:40:56.798189,
tx-conchovalleywdb.civicplus.com,https://cvworkforce.org/,200,[<Response [302]>],2020-07-02T23:40:57.464222,
tx-converse.civicplus.com,http://tx-converse.civicplus.com/,200,[],2020-07-02T23:40:57.969520,
tx-converse2.civicplus.com,http://tx-converse2.civicplus.com/,200,[],2020-07-02T23:40:58.496693,
tx-corinth2.civicplus.com,http://tx-corinth2.civicplus.com/,200,[],2020-07-02T23:40:58.631170,
tx-corsicana.civicplus.com,https://www.cityofcorsicana.com/,200,[<Response [302]>],2020-07-02T23:40:59.459634,
tx-crandall2.civicplus.com,http://tx-crandall2.civicplus.com/,200,[],2020-07-02T23:40:59.871874,
tx-crandall3.civicplus.com,http://tx-crandall3.civicplus.com/,200,[],2020-07-02T23:41:00.283003,
tx-crowley.civicplus.com,http://tx-crowley.civicplus.com/,200,[],2020-07-02T23:41:00.996661,
tx-crowley2.civicplus.com,http://tx-crowley2.civicplus.com/,200,[],2020-07-02T23:41:01.635028,
tx-crowley3.civicplus.com,http://tx-crowley3.civicplus.com/,200,[],2020-07-02T23:41:02.293223,
tx-cuero.civicplus.com,http://tx-cuero.civicplus.com/,200,[],2020-07-02T23:41:02.862864,
tx-cuero2.civicplus.com,http://tx-cuero2.civicplus.com/,200,[],2020-07-02T23:41:03.332351,
tx-dallasaquatics.civicplus.com,http://tx-dallasaquatics.civicplus.com/,200,[],2020-07-02T23:41:03.940626,
tx-dallasbahamabeach.civicplus.com,http://tx-dallasbahamabeach.civicplus.com/,200,[],2020-07-02T23:41:04.551207,
tx-dallased.civicplus.com,https://tx-dallased.civicplus.com/,200,[<Response [301]>],2020-07-02T23:41:05.474967,
tx-dallasgolf.civicplus.com,http://tx-dallasgolf.civicplus.com/,200,[],2020-07-02T23:41:07.071918,
tx-dallasparks.civicplus.com,http://tx-dallasparks.civicplus.com/,200,[],2020-07-02T23:41:07.930420,
tx-dallassouthernskates.civicplus.com,http://tx-dallassouthernskates.civicplus.com/,200,[],2020-07-02T23:41:09.855173,
tx-dalworthingtongardens.civicplus.com,http://tx-dalworthingtongardens.civicplus.com/,404,[],2020-07-02T23:41:09.989196,
tx-dayton.civicplus.com,http://tx-dayton.civicplus.com/,200,[],2020-07-02T23:41:10.123505,
tx-daytoncdc.civicplus.com,http://tx-daytoncdc.civicplus.com/,200,[],2020-07-02T23:41:10.987777,
tx-daytonchamber.civicplus.com,http://tx-daytonchamber.civicplus.com/,404,[],2020-07-02T23:41:11.121478,
tx-decatur.civicplus.com,http://tx-decatur.civicplus.com/,200,[],2020-07-02T23:41:11.685016,
tx-decatured.civicplus.com,http://tx-decatured.civicplus.com/,200,[],2020-07-02T23:41:12.104115,
tx-deerpark.civicplus.com,http://tx-deerpark.civicplus.com/,200,[],2020-07-02T23:41:12.745643,
tx-deerpark2.civicplus.com,http://tx-deerpark2.civicplus.com/,200,[],2020-07-02T23:41:13.461186,
tx-delrio-old.civicplus.com,http://tx-delrio-old.civicplus.com/,200,[],2020-07-02T23:41:13.601120,
tx-delrio.civicplus.com,http://tx-delrio.civicplus.com/,200,[],2020-07-02T23:41:13.735617,
tx-delrio2.civicplus.com,http://tx-delrio2.civicplus.com/,200,[],2020-07-02T23:41:13.870914,
tx-delrio3.civicplus.com,http://tx-delrio3.civicplus.com/,200,[],2020-07-02T23:41:14.004569,
tx-denison.civicplus.com,http://tx-denison.civicplus.com/,200,[],2020-07-02T23:41:14.138973,
tx-denison2.civicplus.com,http://tx-denison2.civicplus.com/,200,[],2020-07-02T23:41:14.276722,
tx-denisondevelopmentalliance.civicplus.com,https://www.denisontx.org/,200,[<Response [302]>],2020-07-02T23:41:15.280217,
tx-desoto.civicplus.com,http://tx-desoto.civicplus.com/,200,[],2020-07-02T23:41:15.932648,
tx-desoto2.civicplus.com,http://tx-desoto2.civicplus.com/,200,[],2020-07-02T23:41:16.596020,
tx-desoto3.civicplus.com,http://tx-desoto3.civicplus.com/,200,[],2020-07-02T23:41:17.295610,
tx-desotoswrcc.civicplus.com,http://tx-desotoswrcc.civicplus.com/,200,[],2020-07-02T23:41:17.430444,
tx-dickinson.civicplus.com,http://tx-dickinson.civicplus.com/,200,[],2020-07-02T23:41:17.879596,
tx-duncanville.civicplus.com,http://tx-duncanville.civicplus.com/,200,[],2020-07-02T23:41:18.018603,
tx-early2.civicplus.com,http://tx-early2.civicplus.com/,200,[],2020-07-02T23:41:18.477897,
tx-edna.civicplus.com,http://tx-edna.civicplus.com/,200,[],2020-07-02T23:41:18.867408,
tx-elcampo.civicplus.com,http://tx-elcampo.civicplus.com/,200,[],2020-07-02T23:41:19.005275,
tx-elgin.civicplus.com,http://tx-elgin.civicplus.com/,200,[],2020-07-02T23:41:20.594140,
tx-ellago.civicplus.com,http://tx-ellago.civicplus.com/,200,[],2020-07-02T23:41:21.126613,
tx-elliscounty.civicplus.com,http://tx-elliscounty.civicplus.com/,200,[],2020-07-02T23:41:21.700292,
tx-elliscounty2.civicplus.com,http://tx-elliscounty2.civicplus.com/,200,[],2020-07-02T23:41:22.284650,
tx-elliscounty3.civicplus.com,http://tx-elliscounty3.civicplus.com/,200,[],2020-07-02T23:41:22.825524,
tx-fairoaksranch.civicplus.com,http://tx-fairoaksranch.civicplus.com/,200,[],2020-07-02T23:41:23.381607,
tx-fairoaksranch2.civicplus.com,http://tx-fairoaksranch2.civicplus.com/,200,[],2020-07-02T23:41:23.947629,
tx-farmersbranch.civicplus.com,https://www.farmersbranchtx.gov/,200,[<Response [302]>],2020-07-02T23:41:24.998302,
tx-farmersbranch2.civicplus.com,https://www.farmersbranchtx.gov/,200,[<Response [302]>],2020-07-02T23:41:26.098747,
